"label","est","se_boot","ci_lower","ci_upper","significant"
"c_in3",0.800904030464666,0.189171298413396,0.429709480262865,1.16551304379302,"*"
"c_in4",1.64683759779527,0.384049757401826,0.469288136734008,2.31515751094909,"*"
"c_sh2",0.00897766682354969,0.0977414884227953,-0.185387701908221,0.196655253336041,""
"c_sh1",0.00186467730367946,0.0773902017809034,-0.156644201620446,0.146201291089502,""
"c_sh4",0.0317679103945919,0.12507353212734,-0.213933409888177,0.278121979308741,""
"c_ih2",0.0155519587563732,0.0694832778054332,-0.117695069379599,0.1537067975237,""
"c_ih3",0.129243637045757,0.106626245026034,-0.0698061501665076,0.349432212267955,""
"c_ih4",0.341558802496667,0.170565808690529,0.0158922628524551,0.691711760299046,"*"
"c_inh2",-0.259368264694555,0.08626724016643,-0.417518729995571,-0.0797253656840315,"*"
"c_inh3",-0.151458083834044,0.138713846396824,-0.430180987224966,0.11500024085331,""
"c_inh4",0.689803839205333,0.290261941780621,0.254520801752127,1.38230859740734,"*"
"c_z",0.0732319437999259,0.0623389097670469,-0.0335376453507911,0.215624998652137,""
"y_sex",-0.173054199442951,0.0858503019934669,-0.339331743254844,0,""
"ind_s2_m",0.273937535438105,0.100128439290958,0.0722964282485405,0.46714491947643,"*"
"ind_s1_m",0.0306269824881688,0.0831667028840047,-0.151114836461128,0.17973240594909,""
"ind_s4_m",0.0316988045268655,0.100985449768902,-0.1781761573286,0.221074227790158,""
"ind_s2_p1sd",0.0727764186288601,0.11637478111453,-0.160803109271557,0.300272544162789,""
"ind_s1_p1sd",-0.146564206084753,0.099817552198974,-0.407448547340152,0.00878182301814545,""
"ind_s4_p1sd",-0.158810485501924,0.119806541200133,-0.428622891376012,0.0502042970807315,""
"ind_s2_m1sd",0.552553838966686,0.155862261040029,0.247213587681784,0.850157826935237,"*"
"ind_s1_m1sd",0.300458785592867,0.122650345626373,0.065695548439834,0.550616141889268,"*"
"ind_s4_m1sd",0.32195436016179,0.176383902778637,-0.0162570748416509,0.673419821990929,""
"ind_i2_m",-0.109586142094391,0.0599301193969015,-0.229334402446848,0.00515180104332916,""
"ind_i3_m",0.00390728241386717,0.0877457346576497,-0.168235988611503,0.177596450803433,""
"ind_i4_m",0.326884916000508,0.155908584452784,0.0399564040198262,0.658063401220005,"*"
"ind_i2_p1sd",-0.117523414829529,0.0634373799893266,-0.253898660893519,-0.00362309618547017,"*"
"ind_i3_p1sd",0.0851977068700955,0.101407436307175,-0.10975461219812,0.29343134746462,""
"ind_i4_p1sd",0.10160975661836,0.146586881176272,-0.148431065044459,0.439407492059552,""
"ind_i2_m1sd",-0.0846398829200538,0.113991907153455,-0.314465138394584,0.132390684456438,""
"ind_i3_m1sd",-0.121965297573735,0.15565588841858,-0.41448860839838,0.20123593942913,""
"ind_i4_m1sd",0.636569637203647,0.24594244164134,0.185808860395931,1.15788768927441,"*"
"ind_in2_m",0.350205811154102,0.0891220635042319,0.188410180636087,0.537882695911713,"*"
"ind_in3_m",0.229211349618349,0.102955497491627,0.036787633995126,0.443985490043633,"*"
"ind_in4_m",0.0129731112740147,0.411474514236514,-0.227333898922585,2.20593015920328,""
"ind_in2_p1sd",0.242474960053806,0.100514965260506,0.0739851125908398,0.476464042536172,"*"
"ind_in3_p1sd",0.0950948536849892,0.12899663996677,-0.150592733438744,0.35806819911736,""
"ind_in4_p1sd",-0.197254858260948,0.655824133921397,-1.04391216359452,2.55867382053241,""
"ind_in2_m1sd",0.475833396973599,0.135706478800587,0.204445194561153,0.740571713322487,"*"
"ind_in3_m1sd",0.409570585891489,0.162082089776321,0.0772919604390543,0.713744243474355,"*"
"ind_in4_m1sd",0.335821989971998,0.235780108539116,-0.132590120765877,0.765295157041245,""
"delta_s2",-0.479777420337826,0.189814450669179,-0.848182453669354,-0.101340350536787,"*"
"delta_s1",-0.44702299167762,0.149389643861938,-0.76504899958621,-0.175029980040319,"*"
"delta_s4",-0.480764845663714,0.216872306637871,-0.907457478137392,-0.0540191720818692,"*"
"delta_i2",-0.0328835319094749,0.132551774890304,-0.282111997174456,0.232817940208161,""
"delta_i3",0.20716300444383,0.191861054020113,-0.184953959605327,0.577692540241155,""
"delta_i4",-0.534959880585287,0.249285143067494,-1.05947772467291,-0.0677342291854643,"*"
"delta_in2",-0.233358436919792,0.158327417945564,-0.531938253729257,0.0926242450143847,""
"delta_in3",-0.314475732206499,0.213056441099816,-0.710855794276092,0.116960602205945,""
"delta_in4",-0.533076848232946,0.73140144138879,-1.973395684354,1.30877026416557,""
"total_ind_school",0.336263322453139,0.249821875570469,-0.196076989888972,0.792649104041418,""
"total_ind_internet",0.221206056319985,0.227324481334346,-0.222234184923819,0.682369980283038,""
"total_ind_injury",0.592390272046465,0.444416065256576,0.112977885723923,2.63788051254366,"*"
"total_ind_school_p1sd",-0.232598272957817,0.299163321683448,-0.949975219996108,0.273095477965196,""
"total_ind_internet_p1sd",0.0692840486589265,0.222195822011534,-0.3618641875955,0.522819625355799,""
"total_ind_injury_p1sd",0.140314955477847,0.678633675028232,-0.658833864131882,3.06701826887611,""
"total_ind_school_m1sd",1.17496698472134,0.378175971363932,0.442439596786459,1.91716257471256,"*"
"total_ind_internet_m1sd",0.429964456709858,0.405222161766747,-0.300637260036825,1.31147253376525,""
"total_ind_injury_m1sd",1.22122597283709,0.35968067486685,0.475979861689307,1.87431520466161,"*"
"delta_school_total",-1.40756525767916,0.465418154941927,-2.35003503175092,-0.514170807920319,"*"
"delta_internet_total",-0.360680408050932,0.444960774634146,-1.28357832990111,0.466759281409141,""
"delta_injury_total",-1.08091101735924,0.794683290497371,-2.42564701543418,1.21566558173205,""
"c_mod_school_total",0.0426102545218211,0.246312427552873,-0.453211818926463,0.516863856236128,""
"c_mod_internet_total",0.486354398298798,0.26089545426559,-0.0104223679253278,1.00661928766846,""
"c_mod_injury_total",0.278977490676733,0.340542773035718,-0.317892925819872,0.98372649536973,""
